vintage,age,dependents,city,customer_nw_category,branch_code,current_balance,previous_month_end_balance,average_monthly_balance_prevQ,average_monthly_balance_prevQ2,current_month_credit,previous_month_credit,current_month_debit,previous_month_debit,current_month_balance,previous_month_balance,days_since_last_transaction,gender_Male,occupation_retired,occupation_salaried,occupation_self_employed,occupation_student
2434,42,1.0,491.0,3,93,223.37,221.18,2160.96,5283.01,0.07,0.07,0.07,4971.5,222.24,1031.7,1800,True,False,True,False,False
2425,58,0.0,1465.0,2,191,6167.45,6167.45,6443.94,6181.52,0.07,0.07,0.07,571.5,6167.45,6425.51,1604,True,False,False,True,False
2045,61,2.0,834.0,3,106,2193.31,4167.43,5423.01,10587.07,0.36,0.36,1753.56,1027.21,3042.7,5733.47,1710,True,False,False,True,False
2178,31,0.0,1459.0,3,949,1040.82,1913.07,1847.29,1539.32,783.41,629.49,1992.98,615.1,1125.2,2068.61,1513,True,False,False,True,False
2197,48,0.0,1046.0,3,1786,789.49,1424.76,1443.43,1934.75,965.33,172.03,857.74,0.6,1120.42,1321.07,1512,False,False,False,True,False
1904,44,2.0,409.0,2,553,3.5,1429.1,2870.36,346.42,6071.96,929.56,17669.81,28051.67,1923.82,5963.27,1528,False,False,True,False,False
1896,40,0.0,513.0,2,216,8964.78,990.19,1554.21,1242.36,0.01,0.01,17.52,44.07,2356.06,1004.4,1709,True,False,True,False,False
1488,30,0.0,1020.0,2,410,7419.98,2218.81,6352.38,7497.81,0.34,17781.79,524.87,24320.77,3294.91,4038.02,1542,True,False,False,True,False
2221,52,0.0,621.0,1,219,2469.65,4067.7,3874.41,4844.46,0.43,0.43,1316.29,307.57,2913.16,4335.21,1794,False,False,False,True,False
1748,59,0.0,146.0,1,53,14076.14,13053.59,16042.31,24440.74,0.53,8571.96,0.53,14286.24,14742.26,13521.58,1560,False,False,False,True,False
2389,53,0.0,1020.0,3,47,3345.63,8015.13,7739.98,8994.37,0.07,831.97,5212.19,5071.5,5516.25,8501.43,1537,False,False,False,True,False
2353,62,0.0,15.0,2,6,3174.86,3694.41,2939.57,756.05,0.07,0.07,2.31,160.07,3238.91,3264.97,1586,True,False,True,False,False
1677,22,0.0,460.0,3,1850,670.73,11884.39,2675.09,917.54,0.64,17143.5,0.64,40530.64,1572.36,5638.76,1545,True,False,False,False,True
1878,55,0.0,1096.0,2,144,527.59,4412.88,3777.58,2422.79,354.27,1597.13,4286.41,643.56,3361.49,4673.13,1527,False,False,False,True,False
2399,65,0.0,623.0,2,218,4819.16,4247.73,2804.14,1481.73,571.94,3543.37,0.51,3591.94,4523.59,1745.38,1520,False,False,False,True,False
2180,39,1.0,934.0,2,649,2578.1,2862.78,2562.36,1992.66,0.66,0.66,285.34,285.34,2646.82,2917.88,1569,True,False,False,True,False
2356,36,0.0,146.0,2,1232,4330.34,4335.13,4339.09,4354.16,0.24,0.24,0.24,0.24,4331.0,4338.62,1740,False,False,True,False,False
2235,66,0.0,834.0,2,466,2230.53,2230.53,1780.06,673.73,0.31,0.31,0.31,0.31,2230.53,2230.53,1570,False,False,False,True,False
2273,37,0.0,1525.0,3,1803,3912.69,1630.84,1806.29,980.54,7.93,23.58,2579.15,0.51,2705.43,958.29,1525,False,False,False,True,False
2057,42,0.0,724.0,2,194,3581.39,3581.39,3581.39,3512.43,0.51,0.51,0.51,0.51,3581.39,3581.39,1583,True,False,True,False,False
2176,65,0.0,957.0,2,2701,1610.86,1610.86,1933.44,3020.18,0.64,0.64,0.64,429.21,1610.86,1666.16,1847,True,False,False,True,False
2219,61,0.0,407.0,3,1399,1894.43,1894.43,1894.43,1882.7,0.59,0.59,0.59,0.59,1894.43,1894.43,1729,True,False,True,False,False
1709,59,0.0,1232.0,3,103,8090.42,8208.0,7514.72,8681.81,897.6,4.73,2112.87,791.93,8730.05,7469.02,1513,True,False,False,True,False
2373,53,0.0,409.0,2,1202,7263.67,7263.67,7263.67,7212.71,0.2,0.2,0.2,0.2,7263.67,7263.67,1736,False,False,False,True,False
2276,41,0.0,1242.0,1,1369,18297.86,15269.29,14091.36,13229.85,3028.77,0.2,0.2,0.2,17490.47,15269.29,1519,True,False,True,False,False
1923,22,0.0,1139.0,2,335,4966.13,1384.7,2067.78,247.88,4938.81,0.24,1357.39,15.96,3819.38,1390.0,1521,True,False,False,True,False
2154,80,0.0,1562.0,2,402,4032.0,3998.24,4054.02,4049.05,34.04,0.27,0.27,112.17,4012.51,4041.75,1518,True,True,False,False,False
2434,39,1.0,1232.0,2,52,6342.6,6534.67,6639.0,4663.27,0.24,0.24,204.43,74.62,6474.81,6564.52,1579,True,False,False,True,False
2395,38,0.0,1096.0,2,1317,9653.22,9681.79,9650.59,9663.28,0.2,0.2,0.2,0.2,9671.94,9651.26,1707,True,False,False,True,False
2163,50,0.0,1291.0,2,2506,5492.44,5504.97,4659.35,1695.48,0.49,1429.06,0.49,0.49,5496.76,4932.84,1551,True,False,False,True,False
1752,21,0.0,15.0,2,1086,2607.8,2622.09,2163.8,1730.32,0.07,0.07,0.07,0.07,2614.7,2628.54,1568,False,False,False,False,True
2207,52,0.0,1020.0,2,60,193.48,9484.99,6962.82,6899.86,18458.06,10304.47,1816.01,3199.79,11446.78,6899.45,1507,False,False,False,True,False
2104,33,0.0,1314.0,3,1059,8393.89,8393.89,8393.89,5896.89,0.03,0.03,0.03,0.03,8393.89,8393.89,1631,True,False,False,True,False
1901,54,0.0,1096.0,2,294,2724.7,2436.56,3257.91,7639.74,0.51,0.51,138.85,0.51,2478.22,2747.91,1701,True,False,True,False,False
2412,59,0.0,1020.0,2,1123,19462.81,19462.81,19507.36,19434.14,0.36,0.36,0.36,71.79,19462.81,19525.03,1800,False,False,False,True,False
2400,50,0.0,1020.0,1,321,1605.48,1594.77,1743.66,2077.26,0.36,0.36,0.36,377.67,1603.64,1712.94,1594,False,False,False,True,False
2377,67,0.0,400.0,1,280,19006.65,19502.36,19947.48,19463.58,814.91,0.63,1529.2,814.91,20181.92,19742.64,1520,False,False,False,True,False
2188,60,0.0,802.0,3,301,220.95,3155.45,1795.7,3745.1,0.66,0.66,72.09,0.66,329.44,3156.07,1791,False,False,True,False,False
1954,54,0.0,61.0,3,1359,15307.26,14950.12,15156.06,11854.31,500.3,0.3,0.3,0.3,15324.5,15048.58,1530,True,False,False,True,False
2169,8,0.0,1525.0,2,146,2311.12,2311.12,2311.12,2165.87,0.23,0.23,0.23,0.23,2311.12,2311.12,1608,False,False,False,False,True
2192,75,0.0,623.0,1,621,9118.02,9083.74,9093.98,8844.18,0.7,0.7,0.7,0.7,9114.48,9083.74,1694,False,False,False,True,False
2270,50,4.0,1232.0,3,900,38297.3,31630.62,36766.37,52531.04,0.49,0.49,621.06,4614.77,36921.62,34172.43,1666,True,False,False,True,False
2127,45,2.0,1020.0,3,12,2776.36,2504.46,3091.05,4110.47,0.36,0.36,157.02,1153.64,2445.42,3150.97,1623,True,False,False,True,False
2355,50,0.0,656.0,2,1391,13122.41,13122.41,12661.58,9895.09,0.57,0.57,0.57,0.57,13122.41,13122.41,1581,True,False,False,True,False
2227,36,0.0,1020.0,1,182,176.53,1554.08,2345.2,1276.49,0.67,15444.5,806.47,220.18,927.66,5040.06,1549,False,False,False,True,False
2378,50,0.0,1232.0,3,1115,2861.92,2145.41,2471.92,1613.47,60.7,82.56,44.31,0.27,2515.17,2915.36,1533,True,False,True,False,False
2192,64,0.0,1111.0,2,2652,1840.34,1840.34,1840.34,1832.29,0.54,0.54,0.54,0.54,1840.34,1840.34,1702,False,False,False,True,False
1766,13,0.0,21.0,2,205,2943.77,2943.77,2943.77,2647.8,0.33,0.33,0.33,0.33,2943.77,2943.77,1615,True,False,False,False,True
2010,33,0.0,1145.0,3,459,12060.72,11771.83,4775.96,1243.54,55.39,0.39,253.24,326.81,11746.46,1663.58,1516,True,False,True,False,False
1930,24,0.0,363.0,2,269,906.7,5947.43,1560.04,206.89,0.3,180.37,9133.46,3703.99,1399.91,3184.02,1554,True,False,False,False,True
1748,51,0.0,21.0,3,205,5838.7,5838.7,5555.29,4708.34,0.01,642.87,0.01,0.01,5838.7,5631.33,1559,False,False,False,True,False
2200,31,2.0,1322.0,3,2066,1276.51,1636.51,1509.68,798.86,714.69,3143.26,360.4,2526.31,1264.88,2137.92,1510,False,False,False,True,False
1975,77,0.0,1020.0,2,239,3038.24,3038.24,3096.61,3242.35,0.03,0.03,0.03,142.89,3038.24,3070.5,1832,True,True,False,False,False
2324,67,0.0,834.0,3,4276,3650.24,4120.65,3938.18,4422.72,199.84,0.26,1134.16,243.11,3868.21,4054.75,1526,True,True,False,False,False
1958,49,0.0,956.0,2,3699,2884.0,2884.0,2962.82,2010.8,785.8,0.09,785.8,163.79,2834.74,2936.8,1516,True,False,False,True,False
2101,44,4.0,109.0,2,2275,8284.47,5669.54,5645.38,5436.02,6428.93,4286.07,1306.86,4164.0,6800.71,5461.22,1513,False,False,False,True,False
2295,60,0.0,1181.0,2,186,4161.24,4161.24,4161.24,4134.88,0.59,0.59,0.59,0.59,4161.24,4161.24,1855,True,False,True,False,False
2188,63,0.0,1181.0,2,235,17460.9,21327.92,23100.0,22299.31,35.96,0.24,4792.08,63.51,19013.2,21933.53,1527,False,False,False,True,False
2364,63,0.0,623.0,3,4078,7173.49,6459.2,6510.85,5655.97,714.59,0.3,0.3,0.3,7074.97,6459.2,1531,True,False,True,False,False
1942,78,0.0,1271.0,1,101,5160.25,5357.27,4347.68,857.65,43.0,43.0,240.02,0.14,5354.62,5339.3,1521,True,False,False,True,False
1843,40,0.0,1020.0,3,13,4091.19,4080.88,4251.19,4996.85,0.36,41.13,0.36,0.36,4084.53,4057.93,1543,False,False,False,True,False
2144,77,1.0,1020.0,2,85,13053.88,12285.08,11096.42,10029.1,31207.8,1260.47,37857.39,0.24,14314.33,11173.81,1507,True,False,False,True,False
2208,42,0.0,395.0,2,1239,4043.31,18126.03,4813.91,127.62,0.41,428.99,13474.71,419.16,10763.02,3510.54,1546,True,False,False,True,False
2137,51,0.0,1232.0,3,149,6240.03,6244.11,6448.36,5967.94,0.37,0.37,0.37,314.66,6243.12,6331.65,1663,False,False,False,True,False
2381,23,0.0,952.0,2,3350,252.44,235.3,1648.47,3079.74,17.33,17.33,0.19,2874.47,250.67,1617.79,1532,True,False,False,True,False
1609,42,1.0,334.0,2,4,2624.68,2617.52,2699.84,3082.49,0.2,0.2,18.76,146.49,2634.91,2664.71,1611,True,False,False,True,False
2261,31,0.0,1004.0,2,307,495.98,49.03,1625.93,772.94,0.85,1.02,49.08,4867.79,290.13,62.89,1514,True,False,False,True,False
2385,47,0.0,1494.0,2,251,1365.93,706.93,1690.1,1023.44,0.67,0.67,0.67,6214.96,1047.79,1581.68,1570,False,False,False,True,False
1946,25,0.0,579.0,3,1468,1019.91,2466.36,2394.22,11150.73,78.97,2157.54,1521.01,697.09,1580.84,1426.07,1532,True,False,False,True,False
2192,43,0.0,2.0,2,118,26291.66,19822.35,41131.58,40938.46,35714.69,0.4,29245.37,35719.96,31092.01,44387.27,1527,True,False,False,True,False
2359,53,0.0,146.0,3,20,2072.53,1235.82,2631.21,2646.97,8.68,10.38,414.22,1526.06,2969.75,1988.1,1528,False,False,False,True,False
2393,49,0.0,834.0,2,277,5209.35,7954.28,4465.32,2523.45,0.2,20124.3,733.94,20547.1,6331.49,5434.58,1540,True,False,True,False,False
2048,30,0.0,409.0,2,586,1253.75,1860.9,1482.11,2029.49,0.07,1148.64,607.21,376.94,1432.32,1638.87,1552,True,False,True,False,False
2149,30,0.0,1232.0,2,437,1993.67,1082.52,1798.38,2977.03,1242.89,0.03,317.45,402.89,1450.27,1259.48,1519,False,False,False,True,False
1983,46,0.0,409.0,3,484,2059.19,2059.19,2059.19,2042.93,0.34,0.34,0.34,0.34,2059.19,2059.19,1702,False,False,False,True,False
1785,34,0.0,1020.0,3,443,1168.59,1214.48,1473.95,1598.65,0.27,0.27,362.13,356.88,1359.58,1453.92,1569,False,False,True,False,False
2348,90,0.0,1020.0,2,626,2817.01,3206.2,3117.41,2836.19,714.86,400.57,1132.61,88.31,3296.47,3159.86,1521,True,False,False,True,False
1598,50,2.0,665.0,2,177,1067.02,733.69,1585.18,2158.24,333.88,0.54,0.54,1633.61,1009.55,1379.23,1530,True,False,False,True,False
2057,47,0.0,1096.0,3,249,3722.51,3722.51,3722.51,3614.64,0.2,0.2,0.2,0.2,3722.51,3722.51,1678,False,False,False,True,False
2438,42,1.0,1096.0,2,327,13562.01,19988.24,16502.96,12357.26,0.53,35714.81,1077.31,0.53,16255.54,20449.81,1542,False,False,False,True,False
2407,70,2.0,1294.0,3,150,749.12,1767.85,1797.33,600.13,0.61,0.61,107.13,0.61,973.17,1861.9,1600,True,True,False,False,False
2386,75,0.0,623.0,2,1043,5910.17,5653.03,6139.23,7011.73,0.37,143.23,0.37,857.51,5786.03,5807.01,1551,True,True,False,False,False
2371,39,2.0,1076.0,3,2041,2090.96,2106.23,1731.83,2560.33,751.63,8039.73,0.09,6356.84,2385.13,1920.82,1531,True,False,True,False,False
2420,84,0.0,1020.0,2,15,8876.42,8789.03,8767.23,8292.83,28.53,43.53,0.2,0.2,8830.72,8781.39,1534,True,True,False,False,False
1626,87,0.0,294.0,2,202,18354.64,18354.64,18354.64,18178.15,0.41,0.41,0.41,0.41,18354.64,18354.64,1689,True,True,False,False,False
741,86,0.0,1020.0,2,1207,4372.72,4587.0,4907.09,5754.03,0.64,0.64,214.93,445.02,4550.06,4967.42,1574,False,False,False,True,False
2384,52,0.0,1020.0,1,42,71022.29,70843.36,70900.95,72393.68,179.11,0.19,0.19,0.19,71016.12,70843.36,1535,True,False,True,False,False
1825,50,0.0,409.0,2,1392,1772.24,1772.24,1772.24,63106.47,0.63,0.63,0.63,0.63,1772.24,1772.24,1659,False,False,False,True,False
2297,67,0.0,834.0,1,14,2248.84,1052.44,2772.18,5812.28,19339.84,29128.71,17714.87,28014.87,4248.85,2447.95,1517,True,False,False,True,False
1768,50,0.0,1096.0,1,327,2287.47,2351.68,2370.02,2464.62,0.2,0.2,64.41,64.41,2305.18,2372.4,1636,False,False,False,True,False
2162,60,2.0,1467.0,3,3902,1378.85,4390.27,4320.9,990.79,429.27,572.13,185.14,2495.59,3911.18,4528.54,1524,True,False,True,False,False
2185,37,0.0,1271.0,1,101,1538.54,1580.19,1570.17,587.37,0.11,0.11,41.77,0.11,1540.36,1580.19,1846,False,False,False,True,False
2386,48,0.0,409.0,2,247,31153.57,34728.07,33345.46,40640.55,0.19,2505.43,3574.69,1131.69,32965.6,33047.66,1539,False,False,False,True,False
1690,80,0.0,834.0,3,530,8172.79,8172.79,8172.79,8124.22,0.49,0.49,0.49,0.49,8172.79,8172.79,1710,True,True,False,False,False
2272,48,3.0,107.0,3,1806,12097.89,13128.15,12231.67,1476.86,0.24,0.24,1030.5,421.46,12283.28,13210.33,1575,True,False,False,True,False
2051,59,0.0,1155.0,2,59,3685.09,3902.11,3492.64,2268.91,0.7,0.7,0.7,7672.13,3927.19,4646.19,1568,False,False,False,True,False
2349,20,0.0,531.0,2,590,18392.52,16400.54,14801.8,12516.4,0.06,7505.85,114.17,0.06,17890.89,13923.09,1546,False,False,False,False,True
2429,67,0.0,1096.0,2,1662,2479.97,2394.25,2392.41,2254.43,0.47,171.9,0.47,0.47,2479.97,2391.49,1537,False,False,False,True,False
1925,33,0.0,1517.0,3,1428,2121.63,972.05,2019.86,2392.96,5957.21,0.07,5279.06,1428.64,2201.73,1456.4,1531,True,False,False,True,False
1528,46,1.0,1020.0,2,541,1166.13,1398.07,1707.9,563.69,0.46,0.46,335.25,43.59,1294.67,1436.12,1598,False,False,False,True,False
2224,71,0.0,1232.0,2,52,2003.58,2003.58,2003.61,2119.7,0.21,0.21,0.21,0.21,2003.58,2003.58,1835,True,False,False,True,False
2254,36,0.0,1598.0,3,1465,2947.01,2832.76,2761.75,2198.01,185.76,185.76,0.04,0.04,2931.25,2796.82,1532,False,False,False,True,False
2194,26,2.0,1494.0,2,1008,9165.61,10399.72,30134.77,94306.19,179791.51,0.29,176739.5,3872.63,33846.37,11424.91,1517,True,False,False,True,False
1667,58,0.0,146.0,3,354,47316.84,33659.37,30678.5,10555.87,0.59,0.59,3642.4,2523.47,40767.07,25216.52,1622,True,False,True,False,False
2084,51,0.0,1020.0,2,60,396.2,3401.29,5921.08,12213.63,66.99,9.68,0.13,149.29,1538.78,5121.02,1507,False,False,False,True,False
2157,24,0.0,1338.0,3,2067,2048.24,6108.17,5022.03,5895.4,1400.69,4129.26,5846.33,3841.8,3434.39,5464.98,1520,True,False,False,False,True
2416,33,1.0,1570.0,1,1713,3595.37,3456.8,3281.55,1747.23,139.04,0.47,0.47,714.76,3590.59,3870.21,1534,False,False,False,False,True
2167,33,0.0,409.0,3,1392,3221.37,2957.97,3164.92,2059.79,4549.65,214.66,0.37,0.37,4156.0,2771.34,1524,False,False,False,True,False
2272,52,0.0,664.0,2,241,14491.12,16148.32,15401.56,16262.85,0.47,0.47,1657.67,0.47,14874.39,15799.94,1601,True,False,True,False,False
2234,81,0.0,583.0,3,345,20305.01,20302.95,17891.63,13479.24,0.66,5000.66,0.66,0.66,20304.02,18067.93,1549,True,False,False,True,False
1516,34,0.0,341.0,2,2239,927.43,713.43,2149.63,1783.67,357.51,0.37,0.37,3457.51,1011.26,2453.77,1535,True,False,False,True,False
2179,39,0.0,630.0,2,36,3028.83,3028.83,3028.83,3009.96,0.03,0.03,0.03,0.03,3028.83,3028.83,1712,False,False,False,True,False
2325,90,0.0,578.0,2,399,3902.31,1045.16,1899.02,972.13,2857.83,0.69,0.69,0.69,3606.74,1045.16,1532,True,False,False,True,False
1936,60,2.0,409.0,2,1280,3232.78,375.64,3305.52,11577.41,28571.79,0.36,25714.64,8823.99,5646.58,1886.37,1535,True,False,False,True,False
1913,41,0.0,1464.0,2,635,2286.75,1838.55,2355.2,3214.97,1180.46,1571.89,586.17,729.03,1968.22,3753.02,1513,True,False,False,True,False
2385,50,0.0,1020.0,1,625,26995.54,35434.06,34698.09,23335.67,67638.7,9453.79,6957.06,8988.34,24320.45,30696.58,1507,True,False,True,False,False
1730,81,1.0,1096.0,1,92,19875.55,3952.31,22418.58,4682.24,27543.81,9415.91,11620.57,8416.67,7133.25,8668.35,1510,True,True,False,False,False
1840,46,0.0,1589.0,1,1713,1950.69,890.39,2508.21,7750.45,397.24,0.66,0.66,397.24,1602.82,904.67,1534,False,False,False,True,False
818,48,0.0,904.0,3,78,2049.66,6063.98,4646.92,4720.6,14910.13,5074.26,14214.33,4057.19,3024.2,5997.11,1510,False,False,False,True,False
1680,48,1.0,1096.0,3,3756,1762.54,4768.31,6221.68,8183.79,0.46,0.46,3006.23,3467.81,3364.12,5758.75,1581,True,False,False,True,False
1911,55,0.0,146.0,2,832,2942.21,2518.78,2464.77,1186.31,423.9,418.9,0.47,0.47,2883.81,2464.79,1531,False,False,True,False,False
2318,44,0.0,1496.0,2,519,1568.31,1568.31,1568.31,1558.39,0.53,0.53,0.53,0.53,1568.31,1568.31,1832,False,False,False,True,False
2273,72,0.0,905.0,2,1582,623.15,2022.54,1769.2,656.95,53.76,13546.25,1428.99,2857.56,1337.0,2734.98,1510,False,True,False,False,False
1779,32,0.0,1020.0,3,414,3191.71,4506.52,4728.04,3735.25,0.34,0.34,1119.67,191.59,3876.97,4667.09,1615,True,False,True,False,False
1996,61,1.0,1020.0,2,1425,321.21,2892.64,2119.53,1108.68,0.43,0.43,2571.86,0.43,1651.26,2875.72,1575,True,False,False,True,False
2110,63,0.0,1410.0,3,2060,1812.64,2526.92,3535.24,6135.71,0.11,0.11,714.4,2000.11,1985.05,3665.17,1693,True,False,False,True,False
1937,23,0.0,773.0,3,2010,3724.29,3724.29,3706.48,3369.07,0.11,0.11,0.11,57.26,3724.29,3729.82,1583,True,False,False,False,True
2018,43,0.0,1315.0,2,250,37370.41,37681.96,36934.08,17502.46,50.04,0.04,0.04,1357.19,37370.81,37825.43,1530,True,False,True,False,False
2075,16,0.0,1150.0,3,1306,2786.04,2714.61,2665.54,2180.53,71.56,114.41,0.13,0.13,2761.41,2644.57,1525,False,False,False,False,True
